order_hint,url,title,description,document_type,source,es_score,current_score,confidence,p1_keep,p2_keep,p1_reason,primary_topic,seed_label,content_hash,govuk_link,label,rationale
49,https://www.gov.uk/government/publications/hmrc-your-guide-to-making-a-disclosure/your-guide-to-making-a-disclosure,Make a voluntary disclosure to HMRC,,guidance,both,0.0043421937,0.0,Wrong sense,0,,"Page concerns tax disclosure procedures to HMRC, not probate-specific policies, procedures and rules.",Voluntary tax disclosure to HMRC,should_include,5a76924c82ffc5b9b52966c56c405557eeffd5ae6d6166ddb5fe1add63da2f13,https://www.gov.uk/government/publications/hmrc-your-guide-to-making-a-disclosure/your-guide-to-making-a-disclosure,,
50,https://www.gov.uk/government/publications/disguised-remuneration-detailed-settlement-terms/disguised-remuneration-detailed-settlement-terms,November 2017 disguised remuneration settlement terms,,guidance,shortlister,,0.0,Wrong sense,0,,"This page concerns tax settlement procedures for disguised remuneration schemes, not probate-specific policies, procedures and rules.",Disguised remuneration settlement terms and tax liabilities,,438026579f8dbd591d40411dfc02ad0784a75bcdaeb8e5eaf8a702fa9d83fbd3,https://www.gov.uk/government/publications/disguised-remuneration-detailed-settlement-terms/disguised-remuneration-detailed-settlement-terms,,
51,https://www.gov.uk/government/publications/credit-card-sales-campaign-your-guide-to-making-a-disclosure/credit-card-sales-campaign-your-guide-to-making-a-disclosure,Credit Card Sales campaign: your guide to making a disclosure,,guidance,both,0.002017367,0.0,Wrong sense,0,,"The page concerns tax disclosure procedures and HMRC campaigns, not probate-specific policies, procedures and rules.",HMRC Credit Card Sales tax disclosure campaign,,d44f15ed0514e4803773e96b50b916443cdf2a5c408d23b7a3999d887dcd82da,https://www.gov.uk/government/publications/credit-card-sales-campaign-your-guide-to-making-a-disclosure/credit-card-sales-campaign-your-guide-to-making-a-disclosure,,
52,https://www.gov.uk/government/publications/data-protection-act-dpa-information-hm-revenue-and-customs-hold-about-you/data-protection-act-dpa-information-hm-revenue-and-customs-hold-about-you,HMRC Privacy Notice,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns HMRC's general privacy and data protection policies, not probate-specific policies, procedures, or rules.",HMRC data protection and privacy procedures,should_include,bd3b42ab5c2fd24d38993ff0dd4441db4dd9dc1568fef385500c4757df3408fa,https://www.gov.uk/government/publications/data-protection-act-dpa-information-hm-revenue-and-customs-hold-about-you/data-protection-act-dpa-information-hm-revenue-and-customs-hold-about-you,,
53,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2026,"HS282 Death, personal representatives and legatees (2026)",,guidance,both,0.0066408236,0.0,Wrong sense,0,,"The page is about CGT taxation rules for estates and personal representatives, not about probate-specific policies, procedures and rules that need to be followed in the probate process.",Capital Gains Tax rules for deceased persons and personal representatives,should_include,9741a5c8f37eb3232485c8fb7f498a09dc71a765ffe5a32bf8461c0a74f985d8,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2026,,
54,https://www.gov.uk/government/publications/inheritance-tax-on-main-residence-nil-rate-band-and-downsizing-proposals-technical-note/inheritance-tax-on-main-residence-nil-rate-band-and-downsizing-proposals-technical-note,Inheritance Tax on main residence nil-rate band and downsizing proposals: technical note,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns inheritance tax policy and design, not probate-specific policies, procedures, and rules that need to be followed in the probate process itself.",Residence nil-rate band and downsizing proposals for inheritance tax,should_include,b8393e5c4ecf012bc99d6b45d44d58063d4d1a6f9c1208bea908e40307ffae91,https://www.gov.uk/government/publications/inheritance-tax-on-main-residence-nil-rate-band-and-downsizing-proposals-technical-note/inheritance-tax-on-main-residence-nil-rate-band-and-downsizing-proposals-technical-note,,
55,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2024,"HS282 Death, personal representatives and legatees (2024)",,guidance,both,0.0066408236,0.0,Wrong sense,0,,"The page is about CGT taxation rules for deceased persons and their estates, not about probate-specific policies, procedures and rules that need to be followed.",Capital Gains Tax when someone dies,should_include,108a5062b0d4758991bd258108bf179a9637324a66d894ecd76fa0536ff66d53,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2024,,
56,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/employee-benefit-trust-settlement-opportunity-guidance-august-2012,Employee Benefit Trust: settlement opportunity guidance August 2012,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax settlement procedures for Employee Benefit Trusts, not probate-specific policies, procedures and rules.",Employee Benefit Trust settlement opportunity and tax liabilities,,981984134135e66e8f7b2e3fe0e4106de803ca90dcf641daa7b53fcca6f2c7b0,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/employee-benefit-trust-settlement-opportunity-guidance-august-2012,,
57,https://www.gov.uk/government/publications/charities-detailed-guidance-notes/chapter-5-giving-land-buildings-shares-and-securities-to-charity,"Chapter 5: Giving land, buildings, shares and securities to charity",,guidance,both,0.0003116867,0.0,Wrong sense,0,,"The page concerns tax relief policies and procedures for charitable donations, not probate-specific policies, procedures and rules.",Tax relief for charitable gifts of investments and property,,3dc91863087d6a266c5917e171bd259928f8eacfe5bd38aa83c8b6e9b8495463,https://www.gov.uk/government/publications/charities-detailed-guidance-notes/chapter-5-giving-land-buildings-shares-and-securities-to-charity,,
58,https://www.gov.uk/government/publications/pensions-schemes-newsletter-178-february-2026/newsletter-178-february-2026,Newsletter 178 — February 2026,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns pension scheme policies and procedures, not probate-specific policies, procedures and rules.",Pension schemes administration and policy updates,,938df17da1e1a714452a698d74affad3213f421418d0ccf9339fa75fc5100f66,https://www.gov.uk/government/publications/pensions-schemes-newsletter-178-february-2026/newsletter-178-february-2026,,
59,https://www.gov.uk/government/publications/hmrc-inheritance-tax-toolkit,Inheritance Tax toolkit,,guidance,both,0.03584615,0.0,Wrong sense,0,,"The page is about Inheritance Tax and tax forms, not probate-specific policies, procedures and rules that need to be followed.",Inheritance Tax guidance and form IHT400,,eea4770b65bcd6a69cd0090212c423c743fd36f1cfbfaa840825d4619d26b4fc,https://www.gov.uk/government/publications/hmrc-inheritance-tax-toolkit,,
60,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/spotlights-6-and-5,Spotlights 6 and 5,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax treatment of retirement schemes and employee trusts, not probate-specific policies, procedures or rules.",Employer-financed retirement benefits and employee reward schemes,,c545a9bce4ffc002998ef7e8426e993ede6642fc6b292f5f0677a94f0d353420,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/spotlights-6-and-5,,
61,https://www.gov.uk/government/publications/gaar-advisory-panel-opinion-of-29-october-2024-reducing-the-value-of-an-estate-for-inheritance-tax-and-avoiding-inheritance-tax-on-a-lifetime-transfe,GAAR Advisory Panel opinion of 29 October 2024: Reducing the value of an estate for Inheritance Tax and avoiding Inheritance Tax on a lifetime transfer by acquiring shares in a company and gifting those shares to an employee trust,Use the General Anti-Abuse Rule (GAAR) Advisory Panel opinion to help you recognise when arrangements may be abusive tax arrangements.,guidance,both,0.019097716,0.0,Wrong sense,0,,"The page concerns tax avoidance arrangements and GAAR guidance, not probate-specific policies, procedures, and rules that need to be followed.",GAAR Advisory Panel opinion on Inheritance Tax avoidance arrangements,should_include,0aefe76acd0d61ce435799c15044a0f569b63766d4fc30043fd56ba2b89547ac,https://www.gov.uk/government/publications/gaar-advisory-panel-opinion-of-29-october-2024-reducing-the-value-of-an-estate-for-inheritance-tax-and-avoiding-inheritance-tax-on-a-lifetime-transfe,,
62,https://www.gov.uk/government/publications/compliance-checks-penalties-for-income-tax-and-capital-gains-tax-for-offshore-matters-ccfs17/compliance-checks-penalties-for-offshore-non-compliance-ccfs17,Compliance checks — CC/FS17: penalties for offshore non-compliance,,guidance,shortlister,,0.0,Wrong sense,0,,"Page concerns tax compliance penalties and procedures, not probate-specific policies, procedures and rules.",Penalties for offshore tax non-compliance,should_include,44f6253e2c3fbdcb9d39cee96d109bbe7297259f44a2d21cb99d5487c9235e32,https://www.gov.uk/government/publications/compliance-checks-penalties-for-income-tax-and-capital-gains-tax-for-offshore-matters-ccfs17/compliance-checks-penalties-for-offshore-non-compliance-ccfs17,,
63,https://www.gov.uk/government/publications/charities-newsletter-2-march-2026/newsletter-2-march-2026,Newsletter 2 — March 2026,,guidance,both,0.003216826,0.0,Wrong sense,0,,"The page contains no content about probate-specific policies, procedures, or rules; it addresses charity tax compliance, Gift Aid, and company filing requirements instead.",Charity tax compliance and administrative changes,,662708a3009fd8d39760f6a1ddcd600cba9ce4c89814bf47bcf3e3137ae515b3,https://www.gov.uk/government/publications/charities-newsletter-2-march-2026/newsletter-2-march-2026,,
64,https://www.gov.uk/government/publications/inheritance-tax-forms-commercial-software-suppliers/inheritance-tax-forms-commercial-software-suppliers,Inheritance Tax forms: commercial software suppliers,,guidance,shortlister,,0.0,Wrong sense,0,,"The page is about commercial software suppliers and form completion tools; it does not discuss probate-specific policies, procedures, or rules that need to be followed.",Commercial software suppliers for Inheritance Tax forms,should_include,d8ff6ce206ed399613a41d53e64162e17dd40440280dd0f05154a575f6b8f539,https://www.gov.uk/government/publications/inheritance-tax-forms-commercial-software-suppliers/inheritance-tax-forms-commercial-software-suppliers,,
65,https://www.gov.uk/government/publications/pensions-schemes-newsletter-166-january-2025,Pensions schemes newsletter 166 — January 2025,"Newsletter 166, published by HMRC in January 2025 to update stakeholders on the latest news for pension schemes.",guidance,both,0.0043718126,0.0,Wrong sense,0,,"The page is about pension schemes policy updates, not probate-specific policies, procedures, and rules.",Pension schemes newsletter and updates,should_include,68fb78b66d00893810c624feeb285ecd2cea6e1dc3c46699a039879d30b412ba,https://www.gov.uk/government/publications/pensions-schemes-newsletter-166-january-2025,,
66,https://www.gov.uk/government/publications/solicitors-tax-campaign-your-guide-to-making-a-disclosure/solicitors-tax-campaign-your-guide-to-making-a-disclosure,Solicitors' Tax campaign: your guide to making a disclosure,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax disclosure procedures for solicitors, not probate-specific policies, procedures, or rules. While it mentions disclosures 'on behalf of someone else (for example, if you're a personal representative of a deceased person)', this is merely one incidental application context, not the page's focus.",Solicitors' tax disclosure campaign for undisclosed tax liabilities,should_include,a17e6f89779872372a03adb000e31abff9cd4abec8d364a71543dd69de4f2fe7,https://www.gov.uk/government/publications/solicitors-tax-campaign-your-guide-to-making-a-disclosure/solicitors-tax-campaign-your-guide-to-making-a-disclosure,,
67,https://www.gov.uk/government/publications/non-domicile-taxation-technical-briefing-on-overseas-trusts/non-domicile-taxation-technical-briefing-on-overseas-trusts,Non-domicile taxation: technical briefing on overseas trusts,,guidance,both,0.0032179793,0.0,Wrong sense,0,,"The page concerns taxation policy and legislation for overseas trusts, not probate-specific policies, procedures, and rules.",Non-domicile taxation and overseas trust legislation,,925130ff99b636de51426722dc488c9233f16b99f6e5ab7d344f0789d4e19f3c,https://www.gov.uk/government/publications/non-domicile-taxation-technical-briefing-on-overseas-trusts/non-domicile-taxation-technical-briefing-on-overseas-trusts,,
68,https://www.gov.uk/government/publications/compliance-checks-unannounced-visits-for-inspections-ccfs4/unannounced-visits-for-inspections-ccfs4,Unannounced visits for inspections — CC/FS4,,guidance,shortlister,,0.0,Wrong sense,0,,"This page concerns tax inspection procedures by HMRC, not probate-specific policies, procedures, and rules.",HMRC unannounced inspection procedures and taxpayer rights,,4ef64557794ddbff49a9d68c560b065d3331699a25b85a8d1beaeeb4c9cc5253,https://www.gov.uk/government/publications/compliance-checks-unannounced-visits-for-inspections-ccfs4/unannounced-visits-for-inspections-ccfs4,,
69,https://www.gov.uk/government/publications/promoters-of-tax-avoidance-schemes-guidance/promoters-of-tax-avoidance-schemes-guidance,Promoters of tax avoidance schemes — guidance,,guidance,both,0.0018824368,0.0,Wrong sense,0,,"The page concerns tax avoidance scheme promotion rules and procedures, not probate-specific policies, procedures, or rules.",Promoters of tax avoidance schemes legislation and guidance,,37bb52858bb839109739073ea8b29c3063f229ad10cc1e3bbec19e3948fba740,https://www.gov.uk/government/publications/promoters-of-tax-avoidance-schemes-guidance/promoters-of-tax-avoidance-schemes-guidance,,
70,https://www.gov.uk/government/publications/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax,"PAYE and National Insurance contributions, Corporation Tax and Inheritance Tax: using trusts and similar entities to reward employees  (Spotlight 5)",,guidance,shortlister,,0.0,Wrong sense,0,,"The page discusses tax avoidance schemes and HMRC's position on them, but contains no content about probate-specific policies, procedures, or rules that need to be followed in the probate sense.",Tax avoidance schemes using trusts for employee rewards,should_include,9b0bfcc677a0d218442fa3ddfb641ecdcc28eed4d2518618170af358e5c817dd,https://www.gov.uk/government/publications/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax,,
71,https://www.gov.uk/government/publications/disclosure-of-tax-avoidance-schemes-hallmark-regulations-summary-of-responses-and-next-steps,Disclosure of Tax Avoidance Schemes: hallmark regulations - summary of responses and next steps,Summary of response on draft changes to the exisiting Disclosure of Tax Avoidance Schemes (DOTAS) hallmark regulations along with draft regulations for a new financial products hallmark. ,guidance,both,0.0060021994,0.0,Wrong sense,0,,"The page concerns tax avoidance disclosure schemes and Inheritance Tax regulations, not probate-specific policies, procedures and rules.",Tax avoidance disclosure schemes and hallmark regulations,,e522aa97eea251a2b25e0a6844e50788265881d0f7d9aab2cdf050ff94a73257,https://www.gov.uk/government/publications/disclosure-of-tax-avoidance-schemes-hallmark-regulations-summary-of-responses-and-next-steps,,
72,https://www.gov.uk/government/publications/pension-schemes-newsletter-164-october-2024/newsletter-164-october-2024,Newsletter 164 — October 2024,,guidance,shortlister,,0.0,Wrong sense,0,,"The page discusses pension tax policy changes and inheritance tax rules on pensions, not probate-specific policies, procedures and rules that need to be followed.",Autumn Budget 2024 pension tax changes,should_include,4ed8453731501cd283c7ff8211a5858ab12d22e9bb5da489c95544b4ab95c9dd,https://www.gov.uk/government/publications/pension-schemes-newsletter-164-october-2024/newsletter-164-october-2024,,
73,https://www.gov.uk/government/publications/inheritance-tax-service-availability-and-issues,Inheritance Tax: service availability and issues,Check the availability and any issues affecting the Inheritance Tax online service.,guidance,both,0.0301995,0.0,Wrong sense,0,,"The page is about service availability and technical issues, not about probate-specific policies, procedures, and rules that need to be followed.",Inheritance Tax online service availability,,c5900c1f87fd3b9a16e7587c0008e1304f7171bfb163f086420e7fbbe9ce6ee8,https://www.gov.uk/government/publications/inheritance-tax-service-availability-and-issues,,
74,https://www.gov.uk/government/publications/pensions-schemes-newsletter-175-november-2025/newsletter-175-november-2025,Newsletter 175 — November 2025,,guidance,shortlister,,0.0,Wrong sense,0,,"The page contains no content about probate-specific policies, procedures, or rules; it addresses pension taxation and scheme administration changes.",Autumn Budget 2025 pension tax announcements,should_include,8bce4b1f45ab16185988d06628040921594b4bf8ffa8d34c895028d5b0461cdb,https://www.gov.uk/government/publications/pensions-schemes-newsletter-175-november-2025/newsletter-175-november-2025,,
75,https://www.gov.uk/government/publications/agent-update-issue-143/issue-143-of-agent-update,Issue 143 of Agent Update ,,guidance,both,0.0011861976,0.0,Wrong sense,0,,"The page contains no probate-specific content; it is about general tax policy updates, procedures, and legislative changes for tax agents and professionals across various tax areas (CIS, VAT, Capital Gains Tax, etc.) but not probate.",Technical tax updates and legislative changes for agents,,6a760dbae3e7e9c204a7dbfaebfe87387461f0c885af788ecb148014e1dd7474,https://www.gov.uk/government/publications/agent-update-issue-143/issue-143-of-agent-update,,
76,https://www.gov.uk/government/publications/pensions-schemes-newsletter-177-january-2026/newsletter-177-january-2026,Newsletter 177 — January 2026,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns pension scheme administration policies and procedures, not probate-specific policies, procedures and rules.",HMRC pension schemes and relief at source administration updates,,c4da9ab5f08d123c7052f9f4a74a95693bb9b4cf28019ca19f1658286ddd3f73,https://www.gov.uk/government/publications/pensions-schemes-newsletter-177-january-2026/newsletter-177-january-2026,,
77,https://www.gov.uk/government/publications/tackling-disguised-remuneration-technical-update/tackling-disguised-remuneration-technical-update,Tackling disguised remuneration technical update,,guidance,both,0.0029045432,0.0,Wrong sense,0,,"The page concerns tax legislation on disguised remuneration schemes, not probate-specific policies, procedures and rules.",Disguised remuneration tax avoidance legislation and procedures,,654bf70edae09beabfa81ef610db29a9fed106a7836dd6b65612af0c7a5b4b3a,https://www.gov.uk/government/publications/tackling-disguised-remuneration-technical-update/tackling-disguised-remuneration-technical-update,,
78,https://www.gov.uk/government/publications/tax-on-contractor-loans/tax-on-contractor-loans-extended-time-limit-and-more-information,Tax on contractor loans: extended time limit and more information,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax settlement procedures for contractor loan schemes, not probate-specific policies, procedures and rules.",Contractor Loans Settlement Opportunity tax resolution,should_include,ebf6079d1b5b10a2adcdcac0bb8d920855c32a80bec17d15d432fd048ed86202,https://www.gov.uk/government/publications/tax-on-contractor-loans/tax-on-contractor-loans-extended-time-limit-and-more-information,,
79,https://www.gov.uk/government/publications/capital-taxation-and-tax-exempt-heritage-assets,Capital taxation and tax-exempt heritage assets,"Guidance on Inheritance Tax exemptions and reliefs policy, and Capital Gains Tax reliefs policy for national heritage property.",guidance,both,0.010981925,0.0,Wrong sense,0,,"The page discusses tax policy and reliefs for heritage assets, not probate-specific policies, procedures, and rules that need to be followed.",Inheritance Tax and Capital Gains Tax reliefs for heritage assets,should_include,9b73923ed88f5408e468dfc8924f26e165c771079fe2a603cc7cb87628b6a073,https://www.gov.uk/government/publications/capital-taxation-and-tax-exempt-heritage-assets,,
80,https://www.gov.uk/government/publications/compliance-checks-factsheets-third-party-information-notices-ccfs23/third-party-information-notices-ccfs23,Third party information notices — CC/FS23,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax compliance procedures and rules for information notices, not probate-specific policies, procedures or rules.",Third party information notices for tax compliance,should_include,f830d3ba71d36bb221775bc6ba1c928941350f21bf42f1fcf4e1e4363bc680d3,https://www.gov.uk/government/publications/compliance-checks-factsheets-third-party-information-notices-ccfs23/third-party-information-notices-ccfs23,,
81,https://www.gov.uk/government/publications/employee-benefit-trust-settlements-after-31-july-2015/employee-benefit-trust-settlements-after-31-july-2015,Employee Benefit Trust settlements after 31 July 2015,,guidance,both,0.0034481501,0.0,Wrong sense,0,,"The page concerns tax settlement procedures for Employee Benefit Trusts, not probate-specific policies, procedures and rules.",Employee Benefit Trust settlement procedures and tax treatment,,5a9106b6849462116651517b8dd8f3a5a1ef87386abbd9ef13a9161ca7838045,https://www.gov.uk/government/publications/employee-benefit-trust-settlements-after-31-july-2015/employee-benefit-trust-settlements-after-31-july-2015,,
82,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/employee-benefit-trusts-settlement-opportunity,Employee Benefit Trusts: settlement opportunity,,guidance,shortlister,,0.0,Wrong sense,0,,"The page discusses tax settlement procedures for Employee Benefit Trusts, not probate-specific policies, procedures and rules.",Employee Benefit Trusts settlement initiative,,08504f3095d7c376160e8678d5f7df2e5a0c3fb33d5807a6bbe6ff5594c1a074,https://www.gov.uk/government/publications/employee-benefit-trusts-settlement-opportunity/employee-benefit-trusts-settlement-opportunity,,
83,https://www.gov.uk/government/publications/residence-domicile-and-remittance-basis-rules-uk-tax-liability/guidance-note-for-residence-domicile-and-the-remittance-basis-rdr1,"Guidance note for residence, domicile and the remittance basis: RDR1",,guidance,both,0.0013012618,0.0,Wrong sense,0,,"The page concerns tax residence and domicile rules for income tax and capital gains tax purposes, not probate-specific policies, procedures and rules.","UK tax residence, domicile and remittance basis",should_include,53959b2c6c569630c77f47f19def4c579aa3396daaf2aba9761e9ef6188c9b7d,https://www.gov.uk/government/publications/residence-domicile-and-remittance-basis-rules-uk-tax-liability/guidance-note-for-residence-domicile-and-the-remittance-basis-rdr1,,
84,https://www.gov.uk/government/publications/compliance-checks-large-and-complex-businesses-ccfs1c/general-information-about-compliance-checks-into-certain-large-and-complex-businesses,General information about compliance checks into large and complex businesses,,guidance,shortlister,,0.0,Wrong sense,0,,"The page is about tax compliance checks by HMRC, not probate-specific policies, procedures and rules.",HMRC compliance checks for large and complex businesses,should_include,683d19190435f25df1480171b7863272bb45d7f84a2ea8f596ee338fa57fdd05,https://www.gov.uk/government/publications/compliance-checks-large-and-complex-businesses-ccfs1c/general-information-about-compliance-checks-into-certain-large-and-complex-businesses,,
85,https://www.gov.uk/government/publications/inheritance-tax-forms-commercial-software-suppliers,Inheritance Tax forms: commercial software suppliers,Details of the approved commercial suppliers who provide software to complete some Inheritance Tax forms. ,guidance,both,0.030229958,0.0,Wrong sense,0,,"Page is about commercial software suppliers for Inheritance Tax forms, not about probate-specific policies, procedures, and rules that need to be followed.",Approved commercial software suppliers for Inheritance Tax forms,should_include,de70e91b8ebff871d912300a204585bb56d67190508739c18c4d8d59960f0a40,https://www.gov.uk/government/publications/inheritance-tax-forms-commercial-software-suppliers,,
86,https://www.gov.uk/government/publications/compliance-checks-alternative-dispute-resolution-ccfs21/compliance-checks-alternative-dispute-resolution-ccfs21,Alternative dispute resolution — CC/FS21	,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax dispute resolution procedures with HMRC, not probate-specific policies, procedures and rules.",Alternative dispute resolution for tax disputes,,69013ecd9c68f8cb436cb25591a8ef0766a75741a975a36344eebfcaed4d0344,https://www.gov.uk/government/publications/compliance-checks-alternative-dispute-resolution-ccfs21/compliance-checks-alternative-dispute-resolution-ccfs21,,
87,https://www.gov.uk/government/publications/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax,"PAYE and National Insurance contributions, Corporation Tax and Inheritance Tax: using trusts and similar entities to reward employees  (Spotlight 5)",,guidance,both,0.017882098,0.0,Wrong sense,0,,"The page concerns tax avoidance schemes and trusts for employee compensation, not probate-specific policies, procedures and rules.",Tax avoidance schemes using trusts for employee rewards,,63c97039e1b1cefce30a2c3c569cb615e5309aa79632271217732b7b4807fc0d,https://www.gov.uk/government/publications/spotlight-5-using-trusts-and-similar-entities-to-reward-employees-paye-and-national-insurance-contributions-corporation-tax-and-inheritance-tax,,
88,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-accelerated-payments-ccfs24/tax-avoidance-schemes-accelerated-payments,Tax avoidance schemes — accelerated payments,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax avoidance schemes and payment procedures, not probate-specific policies, procedures, and rules.",Tax avoidance schemes and accelerated payments,,5a10facef5f8668d73acaecbc6a9a51b3d5f1e8ea0bc63bbc20d9f6273988ea1,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-accelerated-payments-ccfs24/tax-avoidance-schemes-accelerated-payments,,
89,https://www.gov.uk/government/publications/compliance-checks-serial-tax-avoidance-regime-ccfs38a/serial-tax-avoidance-regime-ccfs38a,Serial tax avoidance regime — CC/FS38a,,guidance,both,0.0016398209,0.0,Wrong sense,0,,"The page concerns tax avoidance policy and HMRC procedures, not probate-specific policies, procedures, and rules.",Serial tax avoidance regime (STAR) rules and procedures,,f7775faece8662fa31bc444bf7b9a39f13867a45f3696d51e6fbbdbd70dd358d,https://www.gov.uk/government/publications/compliance-checks-serial-tax-avoidance-regime-ccfs38a/serial-tax-avoidance-regime-ccfs38a,,
90,https://www.gov.uk/government/publications/pensions-schemes-newsletter-171-july-2025/newsletter-171-july-2025,Newsletter 171 — July 2025,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns pension scheme administration, tax policy, and reporting requirements, but does not address probate-specific policies, procedures, or rules in the described sense.",Pension schemes administration and tax updates,should_include,993c5ae393193baac0712b05661efc7ba4c479557e05a38a7712941204f63c65,https://www.gov.uk/government/publications/pensions-schemes-newsletter-171-july-2025/newsletter-171-july-2025,,
91,https://www.gov.uk/government/publications/tackling-disguised-remuneration-draft-guidance-for-changes-to-part-7a/tackling-disguised-remuneration-draft-guidance-for-changes-to-part-7a,Tackling disguised remuneration: draft guidance for changes to Part 7A,,guidance,both,0.00069944264,0.0,Wrong sense,0,,"This page concerns employment income tax provisions under Part 7A ITEPA 2003, not probate procedures, policies, or rules.",Employment income tax rules for disguised remuneration,,6ee3f6c7bc7ba3bc81286f3648b6a9a66df486dc626acb95287d2a34bb12ee9f,https://www.gov.uk/government/publications/tackling-disguised-remuneration-draft-guidance-for-changes-to-part-7a/tackling-disguised-remuneration-draft-guidance-for-changes-to-part-7a,,
92,https://www.gov.uk/government/publications/compliance-checks-penalties-for-inaccuracies-in-returns-or-documents-ccfs7a/compliance-checks-for-penalties-of-inaccuracies-in-returns-or-documents-ccfs7a-factsheet,Compliance check series — CC/FS7A,,guidance,shortlister,,0.0,Wrong sense,0,,"This page concerns tax compliance penalties and procedures, not probate-specific policies, procedures and rules.",HMRC penalties for inaccurate tax returns and documents,,cbe50fea0bb5c8c39dab0966270a66fae858ca13eb56e53a6a3fcceaaf49c6dd,https://www.gov.uk/government/publications/compliance-checks-penalties-for-inaccuracies-in-returns-or-documents-ccfs7a/compliance-checks-for-penalties-of-inaccuracies-in-returns-or-documents-ccfs7a-factsheet,,
93,https://www.gov.uk/government/publications/rates-and-allowances-income-tax/income-tax-rates-and-allowances-current-and-past,Income Tax rates and allowances for current and previous tax years,,guidance,both,0.0045401934,0.0,Wrong sense,0,,"The page concerns general Income Tax policy and rates, not probate-specific policies, procedures, or rules that need to be followed in the probate process.",Income Tax rates and allowances,,49ede8d38fe295b3b161b47d0ce900f47d8107bab566fe55313a8d303c8e0d84,https://www.gov.uk/government/publications/rates-and-allowances-income-tax/income-tax-rates-and-allowances-current-and-past,,
94,https://www.gov.uk/government/publications/disguised-remuneration-settlement-terms-2020/disguised-remuneration-settlement-terms-2020,Disguised remuneration settlement terms 2020 for tax agents or advisers,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax settlement procedures for disguised remuneration schemes, not probate-specific policies, procedures and rules.",Disguised remuneration settlement terms for tax agents,,cc446fd74bdf992110b8f6d5bd2f97279a72c9386cb03e4af8e07df40cf59090,https://www.gov.uk/government/publications/disguised-remuneration-settlement-terms-2020/disguised-remuneration-settlement-terms-2020,,
95,https://www.gov.uk/government/publications/find-out-about-serial-tax-avoidance-and-the-sanctions-that-can-apply/find-out-about-serial-tax-avoidance-and-the-sanctions-that-can-apply,Find out about serial tax avoidance and the sanctions that can apply,,guidance,both,0.0048005264,0.0,Wrong sense,0,,"The page concerns tax avoidance legislation and sanctions, not probate-specific policies, procedures, and rules.",Serial tax avoidance legislation and sanctions,,e05095a2b42812ee9781f7484da17b90736bb5b56299c45de306cd60f4df63d0,https://www.gov.uk/government/publications/find-out-about-serial-tax-avoidance-and-the-sanctions-that-can-apply/find-out-about-serial-tax-avoidance-and-the-sanctions-that-can-apply,,
